frame_index,cam_0_ts_ms,cam_1_ts_ms,playback_time_ms,latency_0_ms,latency_1_ms,sync_error_ms
495,1777497121877,1777497121277,1777497122298,421,1021,600
496,1777497121942,1777497121277,1777497122356,414,1079,665
497,1777497122041,1777497121277,1777497122415,374,1138,764
498,1777497122207,1777497121277,1777497122473,266,1196,930
499,1777497122377,1777497121277,1777497122529,152,1252,1100
500,1777497122377,1777497121277,1777497122585,208,1308,1100
501,1777497122477,1777497121277,1777497122642,165,1365,1200
502,1777497122477,1777497121277,1777497122700,223,1423,1200
503,1777497122543,1777497121277,1777497122761,218,1484,1266
504,1777497122543,1777497121277,1777497122824,281,1547,1266
505,1777497122543,1777497122014,1777497122884,341,870,529
506,1777497122641,1777497122014,1777497122943,302,929,627
507,1777497122641,1777497122014,1777497123002,361,988,627
508,1777497122805,1777497122014,1777497123061,256,1047,791
509,1777497122942,1777497122014,1777497123119,177,1105,928
510,1777497123008,1777497122014,1777497123176,168,1162,994
511,1777497123075,1777497122048,1777497123233,158,1185,1027
512,1777497123075,1777497122048,1777497123292,217,1244,1027
513,1777497123176,1777497122081,1777497123351,175,1270,1095
514,1777497123240,1777497122148,1777497123409,169,1261,1092
515,1777497123276,1777497122148,1777497123466,190,1318,1128
